request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,"Pay INR 36,500 today. This leaves at least INR 82,300 available over the next 90 days."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300 today. This leaves at least INR 113,400 available over the next 90 days."
request_115,27135.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 27,135.00."
request_116,58075.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 58,075.00."
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,738.1,not_affordable,not_recommended,none,2024-12-07,none,Do not make this payment today. Safe headroom is currently EUR 738.10.
request_119,130901.01,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 130,901.01."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,not_affordable,not_recommended,none,2025-08-05,none,"Do not make this payment today. Safe headroom is currently IDR 20,558,000.00."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,2109.56,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently EUR 2,109.56."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 today. This leaves at least ZAR 11,300 available over the next 90 days."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,23980.0,affordable_now,full_payment,2024-09-05:23980,2024-09-05,none,"Pay ZAR 23,980 today. This leaves at least ZAR 41,000 available over the next 90 days."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,288.0,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently USD 288.00.
request_130,917.46,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently USD 917.46.
request_131,1855.2,not_affordable,not_recommended,none,2025-05-03,none,"Do not make this payment today. Safe headroom is currently USD 1,855.20."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This leaves at least USD 1,100 available over the next 90 days."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"Do not make this payment today. Safe headroom is currently IDR 15,770,000.00."
request_134,12118200.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 12,118,200.00."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100 available over the next 90 days."
request_137,67960.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 67,960.00."
request_138,1209.9,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently EUR 1,209.90."
request_139,2267.84,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently USD 2,267.84."
request_140,11074.8,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 11,074.80."
request_141,51435.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 51,435.00."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,8384.2,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 8,384.20."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,105613.66,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 105,613.66."
request_146,81465.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 81,465.00."
request_147,741.53,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 741.53.
request_148,13181.08,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 13,181.08."
request_149,36652.0,not_affordable,not_recommended,none,2025-11-04,none,"Do not make this payment today. Safe headroom is currently ZAR 36,652.00."
request_150,496.1,not_affordable,not_recommended,none,2026-01-06,none,Do not make this payment today. Safe headroom is currently EUR 496.10.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,13882.0,not_affordable,not_recommended,none,2025-02-05,none,"Do not make this payment today. Safe headroom is currently ZAR 13,882.00."
request_153,503.6,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently USD 503.60.
request_154,1625.8,not_affordable,not_recommended,none,2024-12-04,none,"Do not make this payment today. Safe headroom is currently EUR 1,625.80."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,13588.3,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 13,588.30."
request_157,10091850.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 10,091,850.00."
request_158,242600.0,not_affordable,not_recommended,none,2025-08-07,none,"Do not make this payment today. Safe headroom is currently INR 242,600.00."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,857.61,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 857.61.
request_161,17241550.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 17,241,550.00."
request_162,8601300.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 8,601,300.00."
request_163,19304000.0,not_affordable,not_recommended,none,2024-09-07,none,"Do not make this payment today. Safe headroom is currently IDR 19,304,000.00."
request_164,27018000.0,not_affordable,not_recommended,none,2025-02-04,none,"Do not make this payment today. Safe headroom is currently IDR 27,018,000.00."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,not_affordable,not_recommended,none,2024-12-03,none,"Do not make this payment today. Safe headroom is currently USD 2,907.60."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,49380.0,not_affordable,not_recommended,none,2026-01-07,none,"Do not make this payment today. Safe headroom is currently INR 49,380.00."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,36936000.0,not_affordable,not_recommended,none,2025-08-06,none,"Do not make this payment today. Safe headroom is currently IDR 36,936,000.00."
request_171,310.65,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 310.65.
request_172,10200.0,not_affordable,not_recommended,none,2024-06-05,none,"Do not make this payment today. Safe headroom is currently ZAR 10,200.00."
request_173,83190.53,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 83,190.53."
request_174,1146.2,not_affordable,not_recommended,none,2026-04-04,none,"Do not make this payment today. Safe headroom is currently EUR 1,146.20."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,686.95,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 686.95.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,not_affordable,not_recommended,none,2024-12-07,none,"Do not make this payment today. Safe headroom is currently EUR 2,938.10."
request_179,37957250.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 37,957,250.00."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,1270.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently USD 1,270.00."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,26866000.0,not_affordable,not_recommended,none,2026-04-07,none,"Do not make this payment today. Safe headroom is currently IDR 26,866,000.00."
request_184,52360.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 52,360.00."
request_185,783.4,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 783.40.
request_186,22863.5,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 22,863.50."
request_187,67435.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 67,435.00."
request_188,585.3,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 585.30.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,1555.8,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently EUR 1,555.80."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,384.8,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently USD 384.80.
request_193,310.62,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 310.62.
request_194,95030.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 95,030.00."
request_195,1170.4,not_affordable,not_recommended,none,2026-01-06,none,"Do not make this payment today. Safe headroom is currently EUR 1,170.40."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,50939000.0,not_affordable,not_recommended,none,2025-11-05,none,"Do not make this payment today. Safe headroom is currently IDR 50,939,000.00."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000.0,not_affordable,not_recommended,none,2024-09-04,none,"Do not make this payment today. Safe headroom is currently IDR 23,674,000.00."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,not_affordable,not_recommended,none,2025-05-07,none,"Do not make this payment today. Safe headroom is currently EUR 1,442.10."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,"Pay EUR 588.74 today. This leaves at least EUR 1,300 available over the next 90 days."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,not_affordable,not_recommended,none,2025-08-03,none,"Do not make this payment today. Safe headroom is currently EUR 1,404.70."
request_207,11830.0,affordable_now,full_payment,2026-07-05:11830,2026-07-05,none,"Pay ZAR 11,830 today. This leaves at least ZAR 13,600 available over the next 90 days."
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,"Pay IDR 4,413,000 today. This leaves at least IDR 10,470,700 available over the next 90 days."
request_209,8625.1,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 8,625.10."
request_210,1360.02,not_affordable,not_recommended,none,2026-04-06,none,"Do not make this payment today. Safe headroom is currently USD 1,360.02."
request_211,1227.89,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently EUR 1,227.89."
request_212,22344000.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 22,344,000.00."
request_213,3362.4,not_affordable,not_recommended,none,2026-01-07,none,"Do not make this payment today. Safe headroom is currently USD 3,362.40."
request_214,69750.0,not_affordable,not_recommended,none,2024-12-04,none,"Do not make this payment today. Safe headroom is currently INR 69,750.00."
request_215,29986.0,not_affordable,not_recommended,none,2025-05-06,none,"Do not make this payment today. Safe headroom is currently ZAR 29,986.00."
request_216,1166.8,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently USD 1,166.80."
request_217,31601.97,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 31,601.97."
request_218,37942414.8,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 37,942,414.80."
request_219,1673.1,not_affordable,not_recommended,none,2026-04-04,none,"Do not make this payment today. Safe headroom is currently EUR 1,673.10."
request_220,307.32,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 307.32.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000.0,not_affordable,not_recommended,none,2025-02-04,none,"Do not make this payment today. Safe headroom is currently IDR 10,327,000.00."
request_225,18120459.6,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 18,120,459.60."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,42755.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 42,755.00."
request_228,10557350.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 10,557,350.00."
request_229,800.52,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 800.52.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,35706.0,not_affordable,not_recommended,none,2026-01-03,none,"Do not make this payment today. Safe headroom is currently ZAR 35,706.00."
request_232,1869.4,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently EUR 1,869.40."
request_233,6241000.0,not_affordable,not_recommended,none,2025-11-07,none,"Do not make this payment today. Safe headroom is currently IDR 6,241,000.00."
request_234,528.6,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 528.60.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,14404850.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 14,404,850.00."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available over the next 90 days."
request_238,663.6,not_affordable,not_recommended,none,2024-12-07,none,Do not make this payment today. Safe headroom is currently USD 663.60.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
